Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S001,Arafo,15,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S002,Arafo,4,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S002,Arafo,15,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S003,Arafo,11,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S003,Arafo,16,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S001,Arico,14,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S001,Arico,42,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S002,Arico,14,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S002,Arico,23,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S003,Arico,22,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S003,Arico,24,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S004,Arico,12,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S004,Arico,28,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S005,Arico,25,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S005,Arico,47,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S006,Arico,14,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S006,Arico,19,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S001,Arico,13,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S001,Arico,72,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S002,Arico,17,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S002,Arico,29,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S003,Arico,19,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S003,Arico,20,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S004,Arico,9,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S004,Arico,23,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S005,Arico,21,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S005,Arico,44,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S006,Arico,11,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S006,Arico,18,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S001,Arico,28,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S001,Arico,80,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20230101_38005_D01_S002,Arico,18,2023,Santa Cruz de Tenerife,Mujeres
