año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S003,01,003, Granadilla de Abona,27142
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S004,01,004, Granadilla de Abona,28682
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S005,01,005, Granadilla de Abona,30065
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S006,01,006, Granadilla de Abona,30284
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S007,01,007, Granadilla de Abona,29397
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S008,01,008, Granadilla de Abona,27982
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S009,01,009, Granadilla de Abona,34143
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S010,01,010, Granadilla de Abona,28124
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S011,01,011, Granadilla de Abona,28594
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S012,01,012, Granadilla de Abona,35015
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S013,01,013, Granadilla de Abona,26965
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S014,01,014, Granadilla de Abona,32331
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S015,01,015, Granadilla de Abona,25110
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S016,01,016, Granadilla de Abona,36158
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S017,01,017, Granadilla de Abona,33134
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S018,01,018, Granadilla de Abona,46703
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S019,01,019, Granadilla de Abona,27752
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S020,01,020, Granadilla de Abona,27522
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S021,01,021, Granadilla de Abona,26330
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S022,01,022, Granadilla de Abona,34470
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S023,01,023, Granadilla de Abona,26498
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S024,01,024, Granadilla de Abona,26584
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S025,01,025, Granadilla de Abona,25582
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38017_D01_S026,01,026, Granadilla de Abona,
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38018_D01_S001,01,001, La Guancha,32587
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38018_D01_S002,01,002, La Guancha,30113
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38018_D01_S003,01,003, La Guancha,31981
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S001,01,001, Guía de Isora,30024
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S002,01,002, Guía de Isora,30835
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S003,01,003, Guía de Isora,30105
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S004,01,004, Guía de Isora,33000
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S005,01,005, Guía de Isora,27898
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S007,01,007, Guía de Isora,30099
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S008,01,008, Guía de Isora,29250
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S009,01,009, Guía de Isora,27103
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S010,01,010, Guía de Isora,28095
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S011,01,011, Guía de Isora,31142
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S001,01,001, Güímar,38396
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S002,01,002, Güímar,34856
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S003,01,003, Güímar,38021
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S004,01,004, Güímar,39889
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S005,01,005, Güímar,32433
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S006,01,006, Güímar,32709
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S007,01,007, Güímar,32487
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S008,01,008, Güímar,32313
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S009,01,009, Güímar,24639
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S010,01,010, Güímar,46542
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S011,01,011, Güímar,31980
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S012,01,012, Güímar,
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D02_S001,02,001, Güímar,34909
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D02_S002,02,002, Güímar,31860
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D03_S001,03,001, Güímar,29024
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D03_S002,03,002, Güímar,27220
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38021_D01_S001,01,001, Hermigua,29881
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38021_D02_S001,02,001, Hermigua,33092
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S001,01,001, Icod de los Vinos,35729
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S002,01,002, Icod de los Vinos,32101
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S003,01,003, Icod de los Vinos,32359
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S004,01,004, Icod de los Vinos,30441
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S005,01,005, Icod de los Vinos,30790
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S006,01,006, Icod de los Vinos,34554
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D02_S001,02,001, Icod de los Vinos,23497
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D02_S002,02,002, Icod de los Vinos,26262
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S001,03,001, Icod de los Vinos,27987
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S002,03,002, Icod de los Vinos,28720
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S003,03,003, Icod de los Vinos,24551
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S004,03,004, Icod de los Vinos,26048
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S001,04,001, Icod de los Vinos,28831
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S002,04,002, Icod de los Vinos,28797
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S003,04,003, Icod de los Vinos,27357
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S004,04,004, Icod de los Vinos,30120
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D05_S001,05,001, Icod de los Vinos,21550
